Ready to connect
Time result: 0.000023239 seconds.
Time result: 0.000005425 seconds.
Time result: 0.000002655 seconds.
Time result: 0.000001015 seconds.
Time result: 0.000004872 seconds.
Time result: 0.000031200 seconds.
Time result: 0.000009440 seconds.
Time result: 0.000032128 seconds.
Time result: 0.000009775 seconds.
Time result: 0.000034731 seconds.
Time result: 0.000015675 seconds.
Time result: 0.000044659 seconds.
Time result: 0.000025863 seconds.
Time result: 0.000007130 seconds.
Time result: 0.000032800 seconds.
Time result: 0.000012476 seconds.
Time result: 0.000001084 seconds.
Time result: 0.000001441 seconds.
Time result: 0.000018666 seconds.
Time result: 0.000040827 seconds.
Time result: 0.000021090 seconds.
Time result: 0.999041493 seconds.
Time result: 0.999019511 seconds.
Time result: 0.000041691 seconds.
Time result: 0.000013948 seconds.
Time result: 0.000001122 seconds.
Time result: 0.000001418 seconds.
Time result: 0.000025626 seconds.
Time result: 0.000005713 seconds.
Time result: 0.000030970 seconds.
Time result: 0.000011792 seconds.
Time result: 0.000034169 seconds.
Time result: 0.000009870 seconds.
Time result: 0.000037212 seconds.
Time result: 0.000017400 seconds.
Time result: 0.000037916 seconds.
Time result: 0.000009824 seconds.
Time result: 0.000033332 seconds.
Time result: 0.000012610 seconds.
Time result: 0.000038009 seconds.
Time result: 0.000019457 seconds.
Time result: 0.000042690 seconds.
Time result: 0.000019599 seconds.
Time result: 0.000028643 seconds.
Time result: 0.000009817 seconds.
Time result: 0.000033001 seconds.
Time result: 0.000009907 seconds.
Time result: 0.000031485 seconds.
Time result: 0.000008897 seconds.
Time result: 0.000033506 seconds.
Time result: 0.000014433 seconds.
Time result: 0.000021904 seconds.
Time result: 0.000002715 seconds.
Time result: 0.000021706 seconds.
Time result: 0.000001222 seconds.
Time result: 0.000023445 seconds.
Time result: 0.000002615 seconds.
Time result: 0.000019283 seconds.
Time result: 0.000001130 seconds.
Time result: 0.000019660 seconds.
Time result: 0.000043614 seconds.
Time result: 0.000023809 seconds.
Time result: 0.000003181 seconds.
Time result: 0.000022551 seconds.
Time result: 0.000000959 seconds.
Time result: 0.999021310 seconds.
Time result: 0.000036341 seconds.
Time result: 0.000010963 seconds.
Time result: 0.000030319 seconds.
Time result: 0.000009250 seconds.
Time result: 0.000032795 seconds.
Time result: 0.000009939 seconds.
Time result: 0.000025532 seconds.
Time result: 0.000007310 seconds.
Time result: 0.000031837 seconds.
Time result: 0.000011369 seconds.
Time result: 0.000036417 seconds.
Time result: 0.000007764 seconds.
Time result: 0.000033198 seconds.
Time result: 0.000014097 seconds.
Time result: 0.000041195 seconds.
Time result: 0.000012076 seconds.
Time result: 0.000035337 seconds.
Time result: 0.000010768 seconds.
Time result: 0.000023359 seconds.
Time result: 0.000001169 seconds.
Time result: 0.000016563 seconds.
Time result: 0.000030796 seconds.
Time result: 0.000006526 seconds.
Time result: 0.000030772 seconds.
Time result: 0.000001023 seconds.
Time result: 0.000024250 seconds.
Time result: 0.000005369 seconds.
Time result: 0.000031692 seconds.
Time result: 0.000013392 seconds.
Time result: 0.000031451 seconds.
Time result: 0.000013492 seconds.
Time result: 0.000031697 seconds.
Time result: 0.000013429 seconds.
Time result: 0.000039188 seconds.
Time result: 0.000020057 seconds.
Time result: 0.000036498 seconds.
Time result: 0.000007145 seconds.
Time result: 0.000027260 seconds.
Time result: 0.000008526 seconds.
Time result: 0.000029695 seconds.
Time result: 0.000001154 seconds.
